host,motivo
LDAP-SDWAN-PRD02 ,Sem ICMP e SSH (possível offline/rota/firewall)
LDAP-STG01 ,Sem ICMP e SSH (possível offline/rota/firewall)
link-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
logging_host ,Sem ICMP e SSH (possível offline/rota/firewall)
logs-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
loja-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
lvr-digital-hml01 ,ICMP bloqueado (sem ping)
lvr-digital-prd01 ,ICMP bloqueado (sem ping)
lxjboss01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mailing-hom-app01.tenant0008 ,Sem ICMP e SSH (possível offline/rota/firewall)
mailing-prd-app01.tenant0008 ,Sem ICMP e SSH (possível offline/rota/firewall)
masterhx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
MCP-SERVER01 ,Sem ICMP e SSH (possível offline/rota/firewall)
memcached-hom01.tenant0008 ,Sem ICMP e SSH (possível offline/rota/firewall)
memcached-prd01.tenant0008 ,Sem ICMP e SSH (possível offline/rota/firewall)
messageria2.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
messageria3 ,Sem ICMP e SSH (possível offline/rota/firewall)
messageria4 ,Sem ICMP e SSH (possível offline/rota/firewall)
metrics-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mgmt-moniot-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mgmt-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p1 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p10 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p11 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p12 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p13 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p14 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p15 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p16 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p2 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p3 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p4 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p5 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p6 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p7 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p8 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p9 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-11 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-12 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-13 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-14 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-15 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-16 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-7 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-8 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-9 ,Sem ICMP e SSH (possível offline/rota/firewall)
Mobile-voice-hom2-1.scp ,Sem ICMP e SSH (possível offline/rota/firewall)
Mobile-voice-hom2-2.scp ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-11 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-12 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-13 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-14 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-15 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-16 ,Sem ICMP e SSH (possível offline/rota/firewall)
