hostname,ip_address,status,response_time,last_tested_at,description,pendencies,failure_reason
id-transmissao-prd01,172.20.64.82,connected,333,2025-09-10 17:39:16,Conectividade OK via bastion,,
id-transmissao-prd02,172.20.64.83,connected,345,2025-09-10 17:39:16,Conectividade OK via bastion,,
id-transmissao-hml01,172.20.64.98,connected,305,2025-09-10 17:39:16,Conectividade OK via bastion,,
app-portal-nominum-prd01,172.20.9.26,connected,84,2025-09-10 17:39:16,Conectividade OK via bastion,,
nc-web-prd01,172.20.9.12,connected,254,2025-09-10 17:39:16,Conectividade OK via bastion,,
zabbix-server-hom-01,172.20.9.144,connected,268,2025-09-10 17:39:16,Conectividade OK via bastion,,
VM-NSPAR,172.18.16.3,failed,0,2025-09-10 17:39:16,Timeout na conexão,Verificar latência/ACL/VPN,timeout
VM-NSSAR,172.18.16.4,failed,0,2025-09-10 17:39:16,Timeout na conexão,Verificar latência/ACL/VPN,timeout
zabbpx01,10.0.10.31,failed,0,2025-09-10 17:39:16,Timeout na conexão,Verificar latência/ACL/VPN,timeout
netctpx01.network.ctbc,172.20.9.4,connected,304,2025-09-10 17:39:16,Conectividade OK via bastion,,
PL4-PRD-USSD-1,172.25.179.133,connected,101,2025-09-10 17:39:16,Conectividade OK via bastion,,
pl-management,172.25.179.130,connected,133,2025-09-10 17:39:16,Conectividade OK via bastion,,
GW-MAP-7,172.25.179.152,connected,130,2025-09-10 17:39:16,Conectividade OK via bastion,,
pv4-camp-wso2-1,172.25.179.134,connected,186,2025-09-10 17:39:16,Conectividade OK via bastion,,
GW-MAP-8,172.25.179.153,connected,111,2025-09-10 17:39:16,Conectividade OK via bastion,,
parametrizacoes,172.20.14.168,connected,466,2025-09-10 17:39:16,Conectividade OK via bastion,,
PL4-IVR-MOB-6,172.25.179.159,connected,131,2025-09-10 17:39:16,Conectividade OK via bastion,,
rqual-spo-prod01,172.25.154.11,connected,635,2025-09-10 17:39:17,Conectividade OK via bastion,,
pv4-camp-kannel-1,172.25.179.183,connected,158,2025-09-10 17:39:17,Conectividade OK via bastion,,
PL4-IVR-MOB-5,172.25.179.158,connected,355,2025-09-10 17:39:17,Conectividade OK via bastion,,
PL4-IVR-MOB-7,172.25.179.160,connected,320,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl5-kannel-1.planeta.net,172.25.179.193,connected,89,2025-09-10 17:39:17,Conectividade OK via bastion,,
PL4-IVR-MOB-8,172.25.179.161,connected,326,2025-09-10 17:39:17,Conectividade OK via bastion,,
